folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,disp_agua,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos_inca,focos_ahor,combustible,estufa_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,tipo_finan,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medidor_luz,bomba_agua,tanque_gas,aire_acond,calefacc,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,ageb,tam_loc,est_socio,est_dis,upm,factor_viv
0100350902,1,8,10,3,33, ,1,2,3,6,1,1,1,2,1,2,1,1,0,1,1,0,10,3, ,3,4, ,1500, , ,1,2,3,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,1,2,2,5,2,3,1,010010000,000-0,1,4,005,00490,670
0100350903,1,8,10,3,22, ,1,2,4,7,1,1,1,2,1,2,2,0,0,1,1,0,10,3, ,3,4, ,3000, , ,1,1,1,01,1,02,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,5,2,3,1,010010000,000-0,1,4,005,00490,670
0100350904,1,8,10,3,32, ,1,2,1,4,1,1,1,2,1,2,2,1,0,1,1,2,5,3, ,3,4, ,3500, , ,1,2,2,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,0,1,1,010010000,000-0,1,4,005,00490,670
0100357802,1,8,10,3,40, ,1,2,1,5,1,1,1,2,1,2,1,0,0,1,1,4,5,3, ,3,4, ,3000, , ,1,2,5,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,0,1,1,010010000,000-0,1,4,005,00760,620
0100357804,1,8,10,3,40, ,1,2,2,7,1,1,1,2,1,2,2,1,0,1,1,0,16,3, ,3,4, ,5000, , ,1,1,5,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,0,2,1,010010000,000-0,1,4,005,00760,620
0100357805,1,8,10,3,40, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,6,0,3, ,3,2, ,1500, , , , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,6,5,1,2,010010000,000-0,1,4,005,00760,620
0100384501,1,8,10,3,20, ,1,2,3,6,1,1,1,2,1,2,1,0,0,1,1,0,8,3, ,3,3, ,3000,1500,1,2, ,4,02,1, , ,1,1,1,1,1,1,2,1,2,1,2,2,2,2,6,2,4,1,010010000,000-0,1,4,005,00400,735
0100384503,1,8,10,3,6, ,1,1,4,7,1,1,1,2,1,1,2,1,0,1,1,18,0,3, ,3,1,9000, , ,1, , , , , , , , ,1,1,1,2,1,2,2,1,1,1,1,2,2,6,3,3,1,010010000,000-0,1,4,005,00400,735
0100401601,1,8,10,2,32, ,1,2,2,4,1,2,1,2,1,2,1,1,0,1,1,0,5,3, ,3,4, ,1000, , ,3, ,5,01,1, , ,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,1,2,1,010010000,000-0,1,2,003,00730,589
0100401602,1,8,10,2,43, ,1,2,1,7,1,2,1,2,2,2,1,1,0,1,1,2,3,4, ,3,1,500, , ,2, , , , , , , , ,1,2,1,1,1,2,2,2,1,1,2,2,2,4,2,2,1,010010000,000-0,1,2,003,00730,589
0100401603,1,8,10,3,8, ,1,2,2,5,1,1,1,2,1,2,1,0,0,1,1,3,5,3, ,3,3, ,2000,1600,1,1,1,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,4,3,1,1,010010000,000-0,1,2,003,00730,589
0100401604,1,8,10,3,35, ,1,2,1,6,1,2,1,2,1,2,1,1,0,1,1,0,6,3, ,3,4, ,1500, , ,2, ,5,01,1, , ,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,0,1,1,010010000,000-0,1,2,003,00730,589
0100401605,1,8,10,3,20, ,1,2,3,6,1,1,1,2,1,2,1,1,0,1,1,2,8,4, ,3,1,1200, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,1,2,2,4,2,2,1,010010000,000-0,1,2,003,00730,589
0100410201,1,8,10,2,20, ,1,2,3,6,1,1,1,2,1,2,2,0,0,1,1,0,8,3, ,3,4, ,2000, , ,2, ,5,01,1, , ,1,1,1,1,1,1,2,1,2,1,1,1,2,2,3,1,2,1,010010000,000-0,1,2,003,00230,579
0100410202,1,8,10,3,24, ,1,2,3,7,1,1,1,2,1,2,1,0,0,1,1,6,13,3, ,3,4, ,4000, , ,3, ,2,01,1, , ,2,1,1,1,1,1,2,2,1,1,1,1,2,2,3,0,3,1,010010000,000-0,1,2,003,00230,579
0100410203,1,8,10,3,28, ,1,2,4,8,1,1,1,2,1,2,2,0,0,1,1,11,7,3, ,3,4, ,1000, , ,2, ,5,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,10,4,6,2,010010000,000-0,1,2,003,00230,579
